,Index,Highest Charting Position,Number of Times Charted,Song Name,Artist,Artist Followers,Song ID,Duration (ms)
54,55,52,9,Leave Before You Love Me (with Jonas Brothers),Marshmello,31541310,4qu63nuBpdn0qHUHuObEj1,154983
55,56,56,13,Freaks,Surf Curse,495226,7EkWXAI1wn8Ii883ecd9xr,147062
56,57,57,5,Meu Pedaço de Pecado,João Gomes,409173,2kJRlOyrxsy7Ot3c5TZ8Q6,157176
57,58,31,12,2/Catorce,"Rauw Alejandro, Mr. Naisgai",6080597,71R8HJxQk5qMiRstrlXN9t,212032
58,59,34,21,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,32262679,5zFglKYiknIxks8geR8rcL,227395
59,60,31,15,Run,OneRepublic,12169108,2UbVnbE5FH6008mAm6Mmgw,169011
60,61,46,7,Thot Shit,Megan Thee Stallion,4787261,5zNW5ARjYhJQJz1AChP33n,184635
61,62,26,26,Your Love (9PM),"ATB, Topic, A7S",291777,5YaskwnGDZFDRipaqzbwQx,150053
62,63,9,10,brutal,Olivia Rodrigo,6266514,6SRsiMl7w1USE4mFqrOhHC,143747
63,64,2,34,Save Your Tears,The Weeknd,35305637,37BZB0z9T8Xu7U3e65qxFy,191014
64,65,8,24,Heartbreak Anniversary,Giveon,1398563,3FAJ6O0NOHQV8Mc5Ri6ENp,198371
65,66,2,83,Don't Start Now,Dua Lipa,1250353,7njGslFmqBmOSSOpTyZCs9,183290
66,67,33,7,Dinero,Trinidad Cardona,116817,3ggtU1ZOKO8ZNiqPNyXGcm,160880
67,68,35,48,Sweater Weather,The Neighbourhood,6662605,2QjOHCTQ1Jl3zawyYOpxh6,240400
68,69,69,3,Sobrio,Maluma,26769304,4HzqWEdAbzcVFDv0pvxV4w,201181
69,70,12,83,Someone You Loved,Lewis Capaldi,8384096,7qEHsqek33rTcFNT9PFqLf,182161
70,71,71,1,Over The Top (feat. Drake),Smiley,26131,3yaYgjEFkRw3PVjW9mV1TO,153406
71,72,72,2,2055,Sleepy Hallow,408696,4XvcHTUfIlWfyJTRG0aqlo,123987
72,73,33,18,EL MAKINON,"KAROL G, Mariah Angeliq",17775316,2FSGUA0gFgGeQdprjtGM2M,209160
73,74,74,8,Loco,"Justin Quiles, Chimbala, Zion & Lennox",2895789,6PDlkWmrq2ZKiUuFt2aQsH,231604
74,75,75,4,Love Tonight - Edit,Shouse,27116,6OufwUcCqo81guU2jAlDVP,241970
75,76,12,11,ZITTI E BUONI,Måneskin,3377762,776AftMmFFAWUIEAb3lHhw,194787
76,77,2,23,telepatía,Kali Uchis,1999954,6tDDoYIxWvMLTdKpjFkc1B,160191
77,78,9,14,Botella Tras Botella,"Gera MX, Christian Nodal",2043294,2MnLkFqY9Rpg9s3Zv6ZJdK,197333
78,79,7,24,Fiel,"Los Legendarios, Wisin, Jhay Cortez",31488,7Bk0uXKk1uPT0XuQbpFzvs,261667
79,80,1,83,Dance Monkey,Tones And I,2819593,2XU0oxnq2qxCpomAAuJY8K,209438
80,81,7,34,WITHOUT YOU,The Kid LAROI,2230022,27OeeYzk6klgBh83TSvGMA,161385
81,82,6,21,Wants and Needs (feat. Lil Baby),Drake,56308172,65OVbaJR5O1RmwOQx0875b,192956
82,83,83,2,Bezos I,Bo Burnham,1042079,0Kdj7nwaYQmvhxnqZaIQuW,58149
83,84,76,3,Love Again,Dua Lipa,1250353,2sN1pMv6d2t5GlvN6IBMlK,258004
84,85,32,28,Goosebumps - Remix,"Travis Scott, HVME",17719446,5uEYRdEIh9Bo4fpjDd4Na9,162803
85,86,11,55,Head & Heart (feat. MNEK),Joel Corry,207547,6cx06DFPPHchuUAcTxznu9,166028
86,87,42,20,BED,"Joel Corry, RAYE, David Guetta",207547,0siYMEsGrzzzlWLXK5zJfS,178088
87,88,78,8,Iko Iko (My Bestie),"Justin Wellington, Small Jam",18228,7MC4XR9M9amdmKQr2iDF7i,182857
88,89,89,1,Better Believe,"Belly, The Weeknd, Young Thug",203972,3zs87EV3EZSh2UpiXxT52Y,206629
89,90,23,25,Arcade,Duncan Laurence,287361,1Xi84slp6FryDSCbzq4UCD,183624
90,91,55,13,512,"Mora, Jhay Cortez",151486,5jzEwSyyymBlf1fa1o39T2,193636
91,92,1,40,positions,Ariana Grande,67158068,35mvY5S1H3J2QZyna3TFe0,172325
92,93,6,84,Circles,Post Malone,33651775,21jGcNKet2qwijlDFuPiPb,215280
93,94,94,1,Blaues Licht,"RAF Camora, Bonez MC",1329531,08EPQiLMyGB8GJX2EiVoCM,144264
94,95,75,10,Ram Pam Pam,"Natti Natasha, Becky G",6341942,4DHDIdeayp8xvlyg22wREO,200785
95,96,96,4,In Da Getto,"J Balvin, Skrillex",1250353,5lGtPshEJlsJgmqKLi41LY,131067
96,97,97,3,Woman,Doja Cat,8640063,6Uj1ctrBOjOas8xZXGqKk4,172627
97,98,60,8,t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,1521837,1QL7nSDZCwZMnbisV4KOXt,168030
98,99,99,2,Clash (feat. Stormzy),Dave,1427540,2oUwMN5VfdGX10XeQJLBBi,251733
99,100,22,83,Before You Go,Lewis Capaldi,8384096,2gMXnyrvIjhVBUZwvLZDMP,215107
100,101,52,19,Levitating,Dua Lipa,27142474,463CkQjx2Zk1yXoBuierM9,203064
101,102,85,5,Reckless,Madison Beer,3363988,5ajjAnNRh8bxFvaVHzpPjh,203385
102,103,103,5,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,16074,7COGuXyTr12KvdaYXMqheC,280274
103,104,88,83,Believer,Imagine Dragons,35285425,0pqnGHJpmpxLKifKRmU6WP,204347
104,105,2,48,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,411579,02kDW379Yfd5PzW5A6vuGt,195429
105,106,45,19,Talking to the Moon,Bruno Mars,32574754,161DnLWsx1i3u1JT05lzqU,217867
106,107,3,83,Roses - Imanbek Remix,SAINt JHN,742692,0zLCBJZSiELJf02ucPP9wb,176867
107,108,59,11,Sal y Perrea,Sech,8758283,5u7twkeask1VIyDeNTElSU,216510
108,109,109,3,Fulanito,"Becky G, El Alfa",10356559,59L8x0xy8njj75vzVCPMqg,158532
109,110,110,1,París,Ingratax,56699,4bF2y8rR7GUjrd5LNEvej3,151429
110,111,46,83,lovely (with Khalid),Billie Eilish,47014200,0u2P5u6lvoDfwTYjAADbn4,200186
111,112,24,83,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",1250353,3KkXRkHbMCARz0aVfEt68P,158040
112,113,113,3,double take,dhruv,73211,2CVChktEKBsM6v4IfdFU5k,171743
113,114,9,29,Streets,Doja Cat,8640063,60ynsPSSKe6O3sfwRnIBRf,226987
114,115,80,8,By Your Side (feat. Tom Grennan),Calvin Harris,21942793,0vR2rIVORmgeKiGIgNT0fV,189672
115,116,116,3,MORENA,Luan Santana,5420471,4PQdrXMDHDPl1RczrrlADd,193221
116,117,80,80,Shape of You,Ed Sheeran,83293380,7qiZfU4dY1lWllzX7mPBI3,233713
117,118,9,83,Señorita,"Shawn Mendes, Camila Cabello",33879560,0TK2YIli7K1leLovkQiNik,190960
118,119,5,21,Hold On,Justin Bieber,1250353,49xx65gvlD7xXjDTavFqaJ,170813
119,120,99,83,Perfect,Ed Sheeran,83293380,0tgVpDi06FyKpA1z0VMD4v,263400
120,121,80,5,2:50 Remix,"MYA, TINI, Duki",282045,74znaWw1hmQBusGPSOuTFy,231708
121,122,2,35,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",36142273,2XIc1pqjXV3Cr2BQUGNBck,203201
122,123,1,67,ROCKSTAR (feat. Roddy Ricch),DaBaby,7593046,7ytR5pFWmSjzHJIeQkgog4,181733
123,124,12,53,Heather,Conan Gray,3794081,4xqrdfXkTW4T0RauPLv3WA,198040
124,125,13,55,you broke me first,Tate McRae,1647262,45bE4HXI0AwGZXfZtMp8JR,169266
125,126,126,18,The Nights,Avicii,20270895,0ct6r3EGTcMLPtrXHDvVjc,176658
126,127,122,37,Riptide,Vance Joy,2421254,3JvrhDOgAt6p7K8mDyZwRd,204280
127,128,128,30,Smells Like Teen Spirit,Nirvana,13261089,5ghIJDpPoe3CfHMGu71E6T,301920
128,129,11,10,enough for you,Olivia Rodrigo,6266514,2TOzTqQXNmR2zDJXihjZ2e,202827
129,130,99,42,Daddy Issues,The Neighbourhood,6662605,5E30LdtzQTGqRvNd7l6kG5,260173
130,131,131,3,Aquelas Coisas,João Gomes,409173,0FqVtQxRD3HsPltldG5v5M,147072
131,132,19,12,Miss The Rage (feat. Playboi Carti),Trippie Redd,6430522,2BITQ360Knh6qNAOqR7Dyq,236883
132,133,4,83,Memories,Maroon 5,32262679,4cktbXiXOapiLBMprHFErI,189486
133,134,76,16,Another Love,Tom Odell,1838616,7otCGmgp9h4CsR2LhwB6gt,244360
134,135,135,4,Here's Your Perfect,Jamie Miller,64288,2aTKrdenCq5qBOoJPFdn4P,158594
135,136,108,37,Take Me To Church,Hozier,4781906,1CS7Sd1u5tWkstBhpssyjP,241693
136,137,110,13,Little Bit of Love,Tom Grennan,261225,2sX7lJXsOYGP1Us6CqM9t1,226268
137,138,138,4,Ficha Limpa,Gusttavo Lima,12969190,5SwyN9hzmWjBsINlif8li8,192725
138,139,14,25,Up,Cardi B,17353707,1XXimziG1uhM0eDNCZCrUl,156945
139,140,2,52,Hawái,Maluma,26769304,0GzuHFG4Ql6DoyxFRnIk3F,200482
140,141,141,1,New Normal,Khalid,14187747,2CIYemjFXdmCWpJnfbtrD6,198765
141,142,81,81,Bohemian Rhapsody - Remastered 2011,Queen,35888760,7tFiyTwD0nx5a1eklYtX2J,354320
142,143,5,32,Bandido,"Myke Towers, Juhn",6150675,1xK1Gg9SxG8fy2Ya373oqb,232853
143,144,25,39,Paradise (feat. Dermot Kennedy),MEDUZA,441674,6ft4hAq6yde8jPZY2i5zLr,167903
144,145,13,83,goosebumps,Travis Scott,17719446,5uEYRdEIh9Bo4fpjDd4Na9,162803
145,146,90,18,Wasted Love (feat. Lagique),Ofenbach,432581,2pPO9YecZimmuVQfIzfV6U,139563
146,147,100,2,KESI - Remix,"Camilo, Shawn Mendes",10561047,0IqCoZ168iRc9LqfrYgpZy,176575
147,148,59,83,Shallow,"Lady Gaga, Bradley Cooper",18572085,2VxeLyX666F8uXCJ0dZF8B,215733
148,149,110,9,Tell Em,"Cochise, $NOT",159647,7nc7mlSdWYeFom84zZ8Wr8,180380
149,150,103,5,"Não, Não Vou",Mari Fernandez,15889,0xBQvhJAm6f7J142ympKOn,173038
150,151,147,24,Counting Stars,OneRepublic,12169108,6sy3LkhNFjJWlaeSMNwQ62,257840
151,152,121,32,Yellow,Coldplay,31151294,3AJwUDP919kvQ9QcozQPxg,266773
152,153,153,1,Como Si No Importara,"Emilia, Duki",205590,1GYJpuLq41vEVKXiHGEY9j,173053
153,154,154,1,Se For Amor,"João Gomes, Vitor Fernandes",409173,5F2xRvRFkxDvqdFtUNAEyw,239928
154,155,142,23,Wake Me Up,Avicii,20270895,0nrRP2bk19rLc0orkWPQk2,247427
155,156,128,7,Baby Me Atende,"Matheus Fernandes, Dilsinho",77034,5R9KPXQVeyqsHZoPLMgfNy,225672
156,157,68,6,Ramenez la coupe à la maison,Vegedream,1250353,0dqVP9CnGjaYNjya3gYbYy,235556
157,158,6,47,What You Know Bout Love,Pop Smoke,6837946,1tkg4EHVoqnhR6iFEXb60y,160000
158,159,19,18,Runaway,AURORA,1687399,0TCmhnbMpw5zwPsTvlXTJi,248827
159,160,121,5,Red Light Green Light,DaBaby,7593046,1YDebgap5OFwXEBG18NJvy,159083
160,161,120,5,Ball If I Want To,DaBaby,7593046,0cu0rhnlCnJ7JIeHRiLpj3,112547
161,162,31,83,Lucid Dreams,Juice WRLD,19085118,285pBltuF7vW8TeWk8hdRR,239836
162,163,4,24,Calling My Phone,"Lil Tjay, 6LACK",3553442,3J8EOeKLTLXORtWPpOU5bE,205458
163,164,5,39,34+35,Ariana Grande, , , 
164,165,13,83,bad guy,Billie Eilish,1250353,1hewNsVmijBqjKvFRQfk4m,194088
165,166,59,18,Cover Me In Sunshine,"P!nk, Willow Sage Hart",11477164,6Tio0ZoDeSQnI7EBAqWer2,141050
166,167,7,56,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,6837946,0PvFJmanyNQMseIFrU708S,190476
167,168,13,10,"1 step forward, 3 steps back",Olivia Rodrigo,6266514,4wcBRRpIfesgcyUtis7PEg,163587
168,169,1,51,WAP (feat. Megan Thee Stallion),Cardi B,17353707,4Oun2ylbjFKMPTiaSbbCih,187541
169,170,155,22,Mr. Brightside,The Killers,6118063,7oK9VyNzrYvRFo7nQEYkWN,222587
170,171,144,27,Every Breath You Take,The Police,4339245,1JSTJqkT5qHq8MDJnJbRE1,253920
171,172,20,44,Dreams - 2004 Remaster,Fleetwood Mac,6930669,0ofHAoxe9vBkTCp2UQIavz,257800
172,173,94,82,Say You Won't Let Go,James Arthur,8441598,5uCax9HTNlzGybIStD3vDh,211467
173,174,110,2,Wild Side (feat. Cardi B),Normani,1304510,2vXgyN14LX2zl7JEASw242,209476
174,175,65,2,Bout A Million (feat. 42 Dugg & 21 Savage),Pop Smoke,6837946,4LaGu95Ui2s4vprSQYWUAZ,203586
175,176,72,2,Demeanor (feat. Dua Lipa),Pop Smoke,6837946,3DMs7bahbQTnoxCjgP7qoK,184800
176,177,4,76,death bed (coffee for your head),"Powfu, beabadoobee",924083,7eJMfftS33KTjuF7lTsMCx,173333
177,178,100,9,Our Song,"Anne-Marie, Niall Horan",8148393,5zqObw7wjBgL9TDiAymxPn,163733
178,179,138,22,Another One Bites The Dust - Remastered 2011,Queen,35888760,57JVGBtBLCfHw2muk5416J,214653
179,180,149,14,One Dance,"Drake, WizKid, Kyla",56308172,1zi7xx7UVEFkmKfv06H8x0,173987
180,181,15,83,Adore You,Harry Styles,16112621,3jjujdWJ72nww5eGnfs2E7,207133
181,182,181,4,As the World Caves In,Sarah Cothran,180723,2xXNLutYAOELYVObYb1C1S,161613
182,183,183,1,Fancy Like,Walker Hayes,304995,3ZozFqJJlDBNIm4xqxn2ZD,161853
183,184,184,1,Cúrame,Rauw Alejandro,6080597,3PwRuzdphgedcWVUOVYJ7I,164706
184,185,110,78,All of Me,John Legend,5799137,3U4isOIWM3VvDubwSI3y7a,269560
185,186,80,41,Martin & Gina,Polo G,4840346,1VLtjHwRWOVJiE5Py7JxoQ,132833
186,187,40,65,Dior,Pop Smoke,6837946,79s5XnCN4TJKTVMSmOx8Ep,216387
187,188,45,29,Best Friend (feat. Doja Cat),Saweetie,1254432,2etHQJxIbV0soyPhelVs9Y,155884
188,189,52,22,The Hills,The Weeknd,35305637,7fBv7CLKzipRk6EC6TWHOB,242253
189,190,5,31,Good Days,SZA,5881963,3YJJjQPAbDT7mGpX3WtQ9A,279204
190,191,191,1,Kiss My (Uh Oh),"Anne-Marie, Little Mix",8148393,0MWiSBKm8Avs8iDIxcertp,176800
191,192,64,3,De Museo,Bad Bunny,36142273,267NGliXM8YLVZiKAD9Otm,209771
192,193,41,81,7 rings,Ariana Grande,67158068,6ocbgoVGwYJhOv1GgI9NsF,178627
193,194,194,1,Chosen (feat. Ty Dolla $ign),"Blxst, Tyga",167628,1dIWPXMX4kRHj6Dt2DStUQ,161684
194,195,149,5,Não Nasceu pra Namorar,"MC Zaquin, MC Rick",130627,6pQKUKBpwr6GhfhcFFFozo,140308
195,196,8,71,Breaking Me,"Topic, A7S",151832,3H7ihDc1dqLriiWXwsc2po,166794
196,197,197,1,penhasco.,Luísa Sonza,1909059,5VTqW8raQYnj2avZ27nO2a,186121
197,198,58,8,Late At Night,Roddy Ricch,6603627,1fxYz1s15pyZLsJT0Hdh1m,174682
198,199,199,1,Verdansk,Dave,1427540,7IPKXYU2rTMnrLW5IZ7ZI5,182285
199,200,172,12,The Real Slim Shady,Eminem,46785561,3yfqSUWxFvZELEM4PmlwIR,284200
200,201,66,1,Tell The Vision (feat. Kanye West & Pusha T),Pop Smoke,6837946,1Eu51GaXEehPMrDMh5QghA,215000
201,202,87,1,Woo Baby (feat. Chris Brown),Pop Smoke,6837946,6bsqes8Zg9gUULzuCkMUs0,156000
202,203,116,1,Holy Smokes,"Trippie Redd, Lil Uzi Vert",6430522,3EpF150nXMSNjiH0bbmXIL,181714
203,204,127,1,More Time,Pop Smoke,6837946,7wAnRqccDr2tzcSKLR4jKl,120828
204,205,129,1,Coupe,Pop Smoke,6837946,7LB3ilSpX1mSMKKztNTnu2,123549
205,206,76,4,Holiday,KSI,2008516,6nV2dFZXpv1JlqDWBeTXRl,193733
206,207,150,1,Manslaughter (feat. Rick Ross & The-Dream),Pop Smoke,6837946,4byRwLo7EmkCNBU6S8G6u0,249231
207,208,159,1,Genius (feat. Lil Tjay & Swae Lee),Pop Smoke,6837946,2mmRtchzDVpCj9LSyexgjS,208112
208,209,22,4,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",6777818,5B0kgjHULYJhAQkK5XsMoC,121573
209,210,105,4,Sommergewitter,Pashanim,208554,2H7jZg2HliuQhZjfBblLrZ,138533
210,211,17,12,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions",323203,6uvMKqNlrSvcC4NaKnrwjZ,278085
211,212,180,1,Brush Em (feat. Rah Swish),Pop Smoke,6837946,58aW6yZGFl7rVM7SLfLnLL,150449
212,213,13,15,AM,"Nio Garcia, Flow La Movie",2123734,2dNhNlpZAtV4lwAFW45LIv,182496
213,214,175,4,MI FAI IMPAZZIRE,"BLANCO, Sfera Ebbasta",127364,1x3Qb8np6S1UvpSLthwEJN,220235
214,215,20,82,Ride It,Regard,152226,2tnVG71enUj33Ic2nFN6kZ,157606
215,216,15,7,Lost Cause,Billie Eilish,1250353,36fhyo5QlxBW7DrDHIOn1G,212496
216,217,193,1,Shot in the Dark,John Mayer,5178156,239yM7BAQ2CkNc61ogPGXo,249080
217,218,71,3,Wrecked,Imagine Dragons,35285425,2d1MywHy6FwKdzxFuSJnwl,244005
218,219,79,11,Bipolar,"Mc Davi, Mc Pedrinho, Mc Don Juan",2586114,0qxLQ6opocOGyFnlXqJ53x,276480
219,220,122,5,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,411579,2IePEfMAtqWS6rLXXFZIgI,224042
220,221,75,19,Follow You,Imagine Dragons,35285425,7FdUvDkaE24o3FPIWTvzv2,175644
221,222,22,22,We're Good,Dua Lipa,27142474,1diS6nkxMQc3wwC4G1j0bh,165507
222,223,4,29,Life Goes On,BTS,37106176,249gnXrbfmV8NG6jTEMSwD,207481
223,224,28,23,911,Sech,8758283,27RSJHEA99Y0Vsow7nA37A,208631
224,225,17,24,Baila Conmigo (with Rauw Alejandro),Selena Gomez,28909504,079Ey5uxL04AKPQgVQwx5h,186088
225,226,164,1,The Jackie (with J. Cole & Lil Tjay),Bas,386757,15qKrPi4Kg0z7g9HlwWyeb,204434
226,227,22,8,hope ur ok,Olivia Rodrigo,6266514,1zejeOnykpCoyVSit6Bwp3,209560
227,228,169,2,Faz Amor Comigo Só Hoje - Ao Vivo,"Israel & Rodolffo, Wesley Safadão",1097789,7Kba4OaxQFQ1zlknQUpNqN,148228
228,229,80,5,Alcohol-Free,TWICE,9987114,0BTaaKT4RMbs5M73tOHX5Y,210573
229,230,184,1,WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,BIA,151870,67G6iaOw8DZqp1z8STR89R,229601
230,231,187,1,Memory,"Kane Brown, blackbear",3507622,34chhNX59Wo9HMFCsI3K8Y,153338
231,232,183,4,Me Fije,"Alex Rose, Rauw Alejandro",2166191,6Et5KimMg3IXwD6lJPGmQw,202307
232,233,71,13,"Volta Bebê, Volta Neném","Dj Guuga, DJ Ivis",608109,4wQUopWk9Ed7Ng5qpKN5qd,172973
233,234,95,13,Aloha,"Maluma, Beéle, Rauw Alejandro, Mambo Kingz, DJ Luian, Darell",26769304,5RAIMjdrCEjpjaR5tBATXU,241659
234,235,184,2,Sexo Virtual,Rauw Alejandro,6080597,0giiXonRhODYy4J1iy4Lb3,208292
235,236,141,32,Closer,"The Chainsmokers, Halsey",18191658,7BKLCZ1jbUBVqRi2FVlTVw,244960
236,237,194,4,Wonderwall - Remastered,Oasis,6475631,7ygpwy2qP3NbrxVkHvUhXY,258773
237,238,101,1,Wasting Time ( feat. Drake ),Brent Faiyaz,1724414,48WidxP9CqyYtk97pwGZ3c,301304
238,239,55,2,I Don't Do Drugs (feat. Ariana Grande),Doja Cat,8640063,0FFsgUoFibYISzMxuGS61W,188893
239,240,132,1,Renegade (feat. Taylor Swift),Big Red Machine,98503,1aU1wpYBSpP0M6IiihY5Ue,254467
240,241,40,2,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator",6777818,7z4xW9WY86uH3gd1V9pfCM,146419
241,242,152,2,All Eyes On Me,Bo Burnham,1042079,3rV5y8rcQrwRt9fWGLmjOQ,302951
242,243,101,3,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,6278835,1EJIcDYXwSqipW5dFe4uJz,236524
243,244,72,10,Dick (feat. Doja Cat),StarBoi3,17202,3nY8AqaMNNHHLYV4380ol0,175238
244,245,25,4,Solar Power,Lorde,8083566,3KdoeNlEN0BoAKWzaRLNZa,192621
